service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12683,0,0,0,0,0,1,0,20180917,20200401
12684,0,0,0,0,0,0,1,20180917,20200401
13330,1,1,1,1,1,0,0,20190401,20200401
12527,0,0,0,0,0,1,0,20180901,20200401
12528,0,0,0,0,0,0,1,20180901,20200401
13269,0,0,0,0,0,1,0,20190301,20200401
13270,0,0,0,0,0,0,1,20190301,20200401
12530,1,1,1,1,1,0,0,20180901,20200401
11965,0,0,0,0,0,1,0,20180414,20200401
11966,0,0,0,0,0,0,1,20180414,20200401
13059,1,1,1,1,1,0,0,20181208,20200401
13060,0,0,0,0,0,1,0,20181208,20200401
13061,0,0,0,0,0,0,1,20181208,20200401
13317,0,0,0,0,0,1,0,20190323,20200401
13318,0,0,0,0,0,0,1,20190323,20200401
13207,1,1,1,1,1,0,0,20190301,20200401
12532,0,0,0,0,0,1,0,20181125,20200401
12833,1,1,1,1,1,0,0,20181101,20200401
12533,0,0,0,0,0,0,1,20180901,20200401
12834,1,1,1,1,1,0,0,20181101,20200401
12835,0,0,0,0,0,1,0,20181101,20200401
12836,0,0,0,0,0,0,1,20181101,20200401
13271,1,1,1,1,1,0,0,20190301,20200401
13272,0,0,0,0,0,1,0,20190301,20200401
13273,0,0,0,0,0,0,1,20190301,20200401
12537,1,1,1,1,1,0,0,20180901,20200401
12538,0,0,0,0,0,1,0,20180901,20200401
12539,0,0,0,0,0,0,1,20180901,20200401
12214,1,1,1,1,1,0,0,20180616,20200401
12215,0,0,0,0,0,1,1,20180616,20200401
13274,0,0,0,0,0,1,1,20190301,20200401
12540,1,1,1,1,1,0,0,20180901,20200401
13176,1,1,1,1,1,0,0,20190209,20200401
13177,0,0,0,0,0,1,0,20190209,20200401
13178,0,0,0,0,0,0,1,20190209,20200401
13210,1,1,1,1,1,0,0,20190301,20200401
13211,0,0,0,0,0,1,0,20190301,20200401
13212,0,0,0,0,0,0,1,20190301,20200401
13321,1,1,1,1,1,0,0,20190323,20200401
13322,0,0,0,0,0,1,0,20190323,20200401
13323,0,0,0,0,0,0,1,20190323,20200401
13279,0,0,0,0,0,1,0,20190301,20200401
13280,0,0,0,0,0,0,1,20190301,20200401
13281,1,1,1,1,1,0,0,20190301,20200401
13282,0,0,0,0,0,1,0,20190301,20200401
13283,0,0,0,0,0,0,1,20190301,20200401
13068,1,1,1,1,1,0,0,20181208,20200401
13069,0,0,0,0,0,1,0,20181208,20200401
13070,0,0,0,0,0,0,1,20181208,20200401
13213,1,1,1,1,1,0,0,20190301,20200401
13214,0,0,0,0,0,1,0,20190301,20200401
13215,0,0,0,0,0,0,1,20190301,20200401
13071,1,1,1,1,1,0,0,20181208,20200401
13072,0,0,0,0,0,1,0,20181208,20200401
13073,0,0,0,0,0,0,1,20181208,20200401
13284,1,1,1,1,1,0,0,20190301,20200401
13286,0,0,0,0,0,0,1,20190301,20200401
13287,1,1,1,1,1,0,0,20190301,20200401
13288,0,0,0,0,0,1,1,20190301,20200401
13289,1,1,1,1,1,0,0,20190301,20200401
13331,1,1,1,1,1,0,0,20190401,20200401
13332,0,0,0,0,0,1,0,20190401,20200401
13333,0,0,0,0,0,0,1,20190401,20200401
12554,1,1,1,1,1,0,0,20180901,20200401
12555,0,0,0,0,0,1,0,20180901,20200401
12556,0,0,0,0,0,0,1,20180901,20200401
13290,1,1,1,1,1,0,0,20190301,20200401
13291,0,0,0,0,0,1,0,20190301,20200401
13292,0,0,0,0,0,0,1,20190301,20200401
13293,1,1,1,1,1,0,0,20190301,20200401
13294,0,0,0,0,0,1,0,20190301,20200401
13295,0,0,0,0,0,0,1,20190301,20200401
13216,1,1,1,1,1,0,0,20190301,20200401
13217,0,0,0,0,0,1,0,20190301,20200401
13218,0,0,0,0,0,0,1,20190301,20200401
13077,1,1,1,1,1,0,0,20181208,20200401
13078,0,0,0,0,0,1,0,20181208,20200401
13079,0,0,0,0,0,0,1,20181208,20200401
13219,1,1,1,1,1,0,0,20190301,20200401
13220,0,0,0,0,0,1,0,20190301,20200401
13221,0,0,0,0,0,0,1,20190301,20200401
13334,1,1,1,1,1,0,0,20190401,20200401
12231,0,0,0,0,0,1,0,20180616,20200401
12232,0,0,0,0,0,0,1,20180616,20200401
13080,1,1,1,1,1,0,0,20181208,20200401
13081,0,0,0,0,0,1,0,20181208,20200401
13082,0,0,0,0,0,0,1,20181208,20200401
13083,1,1,1,1,1,0,0,20181208,20200401
13084,0,0,0,0,0,1,0,20181208,20200401
13085,0,0,0,0,0,0,1,20181208,20200401
13296,1,1,1,1,1,0,0,20190301,20200401
13297,0,0,0,0,0,1,1,20190301,20200401
13174,1,1,1,1,1,0,0,20190119,20200401
13175,0,0,0,0,0,1,1,20190119,20200401
13298,1,1,1,1,1,0,0,20190301,20200401
13299,0,0,0,0,0,1,1,20190301,20200401
13300,1,1,1,1,1,0,0,20190301,20200401
12686,0,0,0,0,0,1,1,20180917,20200401
12571,1,1,1,1,1,0,0,20180901,20200401
12572,0,0,0,0,0,1,0,20180901,20200401
12573,0,0,0,0,0,0,1,20180901,20200401
13301,1,1,1,1,1,0,0,20190301,20200401
13302,0,0,0,0,0,1,1,20190301,20200401
12237,1,1,1,1,1,1,1,20180616,20200401
12269,0,0,0,0,1,1,0,20180912,20200401
11114,0,0,0,0,1,1,0,20180912,20200401
11610,0,0,0,0,1,1,0,20180912,20200401
11116,0,0,0,0,1,1,0,20180912,20200401
12677,0,0,0,0,1,1,0,20180912,20200401
13343,1,1,1,1,1,0,0,20190301,20200401
13344,0,0,0,0,0,1,0,20190301,20200401
13345,0,0,0,0,0,0,1,20190301,20200401
12961,1,1,1,1,1,0,0,20181201,20200401
12962,0,0,0,0,0,1,0,20181201,20200401
13014,0,0,0,0,0,0,1,20181201,20200401
13367,1,1,1,1,1,0,0,20190301,20200401
13362,0,0,0,0,0,1,0,20190301,20200401
13363,0,0,0,0,0,0,1,20190301,20200401
13364,1,1,1,1,1,0,0,20190301,20200401
13365,1,1,1,1,1,0,0,20190301,20200401
12968,0,0,0,0,0,1,0,20181201,20200401
12969,0,0,0,0,0,0,1,20181201,20200401
12970,1,1,1,1,1,0,0,20181201,20200401
12971,0,0,0,0,0,1,0,20181201,20200401
12972,0,0,0,0,0,0,1,20181201,20200401
13346,1,1,1,1,1,0,0,20190301,20200401
13347,0,0,0,0,0,1,0,20190301,20200401
13348,0,0,0,0,0,0,1,20190301,20200401
13349,1,1,1,1,1,0,0,20190301,20200401
13350,0,0,0,0,0,1,0,20190301,20200401
13351,0,0,0,0,0,0,1,20190301,20200401
13308,1,1,1,1,1,0,0,20181201,20200401
13309,0,0,0,0,0,1,0,20181201,20200401
13310,0,0,0,0,0,0,1,20181201,20200401
12982,1,1,1,1,1,0,0,20181201,20200401
12983,0,0,0,0,0,1,0,20181201,20200401
12984,0,0,0,0,0,0,1,20181201,20200401
12986,1,1,1,1,1,0,0,20181201,20200401
12987,0,0,0,0,0,1,0,20181201,20200401
12988,0,0,0,0,0,0,1,20181201,20200401
12989,1,1,1,1,1,0,0,20181201,20200401
13353,1,1,1,1,1,0,0,20190301,20200401
13354,0,0,0,0,0,1,0,20190301,20200401
13355,0,0,0,0,0,0,1,20190301,20200401
12993,1,1,1,1,1,0,0,20181201,20200401
12994,0,0,0,0,0,1,0,20181201,20200401
12995,0,0,0,0,0,0,1,20181201,20200401
13366,1,1,1,1,1,0,0,20190301,20200401
13357,0,0,0,0,0,1,0,20190301,20200401
13358,0,0,0,0,0,0,1,20190301,20200401
13359,1,1,1,1,1,0,0,20190301,20200401
13360,0,0,0,0,0,1,0,20190301,20200401
13361,0,0,0,0,0,0,1,20190301,20200401
13002,1,1,1,1,1,0,0,20181201,20200401
13003,0,0,0,0,0,1,1,20181201,20200401
13004,1,1,1,1,1,0,0,20181201,20200401
13005,0,0,0,0,0,1,1,20180901,20200401
